features,SRR11282050,SRR11282060,SRR11282070,SRR11282080,SRR11282090,SRR11282100,SRR11282110,SRR11282120,SRR11282130,SRR11282140,SRR11282150,SRR11282160,SRR11282051,SRR11282061,SRR11282071,SRR11282081,SRR11282091,SRR11282101,SRR11282111,SRR11282121,SRR11282131,SRR11282141,SRR11282151,SRR11282161,SRR11282052,SRR11282062,SRR11282072,SRR11282082,SRR11282092,SRR11282102,SRR11282112,SRR11282122,SRR11282132,SRR11282142,SRR11282152,SRR11282162,SRR11282053,SRR11282063,SRR11282073,SRR11282083,SRR11282093,SRR11282103,SRR11282113,SRR11282123,SRR11282133,SRR11282143,SRR11282153,SRR11282163,SRR11282054,SRR11282064,SRR11282074,SRR11282084,SRR11282094,SRR11282104,SRR11282114,SRR11282124,SRR11282134,SRR11282144,SRR11282154,SRR11282164,SRR11282055,SRR11282065,SRR11282075,SRR11282085,SRR11282095,SRR11282105,SRR11282115,SRR11282125,SRR11282135,SRR11282145,SRR11282155,SRR11282056,SRR11282066,SRR11282076,SRR11282086,SRR11282096,SRR11282106,SRR11282116,SRR11282126,SRR11282136,SRR11282146,SRR11282156,SRR11282057,SRR11282067,SRR11282077,SRR11282087,SRR11282097,SRR11282107,SRR11282117,SRR11282127,SRR11282137,SRR11282147,SRR11282157,SRR11282048,SRR11282058,SRR11282068,SRR11282078,SRR11282088,SRR11282098,SRR11282108,SRR11282118,SRR11282128,SRR11282138,SRR11282148,SRR11282158,SRR11282049,SRR11282059,SRR11282069,SRR11282079,SRR11282089,SRR11282099,SRR11282109,SRR11282119,SRR11282129,SRR11282139,SRR11282149,SRR11282159
sk__Bacteria,0.0,3.0,16.0,25.0,140.0,39.0,3.0,55.0,187.0,70.0,5.0,5.0,9.0,2.0,20.0,34.0,118.0,9.0,156.0,10.0,34.0,12.0,14.0,3.0,0.0,3.0,2.0,4.0,4.0,12.0,14.0,5.0,19.0,6.0,0.0,21.0,3.0,0.0,6.0,4.0,114.0,69.0,40.0,17.0,58.0,20.0,0.0,0.0,1.0,4.0,54.0,2.0,176.0,400.0,0.0,4.0,124.0,3.0,1.0,2.0,0.0,6.0,30.0,331.0,67.0,5.0,18.0,4.0,19.0,0.0,1.0,2.0,2.0,0.0,6.0,39.0,7.0,0.0,67.0,426.0,2.0,0.0,12.0,24.0,3.0,14.0,164.0,47.0,1.0,20.0,2.0,3.0,0.0,1.0,58.0,10.0,6.0,1.0,716.0,10.0,128.0,27.0,42.0,1.0,4.0,8.0,0.0,1.0,51.0,133.0,25.0,17.0,15.0,18.0,5.0,2.0,1.0
sk__Bacteria;k__;p__;c__Candidatus_Babeliae;o__Candidatus_Babeliales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
sk__Bacteria;k__;p__;c__Candidatus_Babeliae;o__Candidatus_Babeliales;f__Candidatus_Babeliaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
sk__Bacteria;k__;p__Acidobacteria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sk__Bacteria;k__;p__Acidobacteria;c__Holophagae,1.0,21.0,43.0,2.0,94.0,16.0,2.0,0.0,2.0,1.0,28.0,2.0,13.0,3.0,19.0,126.0,8.0,55.0,153.0,23.0,0.0,5.0,7.0,32.0,9.0,29.0,106.0,108.0,92.0,0.0,57.0,0.0,1.0,3.0,3.0,6.0,6.0,1.0,10.0,11.0,86.0,257.0,5.0,3.0,1.0,0.0,24.0,17.0,3.0,1.0,57.0,61.0,105.0,16.0,11.0,1.0,9.0,27.0,18.0,29.0,66.0,19.0,67.0,53.0,31.0,63.0,0.0,0.0,0.0,1.0,21.0,0.0,0.0,0.0,72.0,29.0,3.0,11.0,18.0,2.0,21.0,9.0,3.0,5.0,20.0,106.0,46.0,21.0,25.0,1.0,0.0,1.0,19.0,41.0,10.0,41.0,5.0,101.0,0.0,82.0,0.0,7.0,0.0,27.0,0.0,6.0,5.0,8.0,24.0,167.0,27.0,96.0,4.0,2.0,0.0,9.0,28.0
sk__Bacteria;k__;p__Acidobacteria;c__Holophagae;o__Holophagales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sk__Bacteria;k__;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sk__Bacteria;k__;p__Acidobacteria;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sk__Bacteria;k__;p__Actinobacteria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1070.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
